year,PRCP,TMAX,TMIN,SNOW,SNWD
1893,29.595238095238095,155.25698324022346,33.690140845070424,12.36923076923077,
1894,37.166666666666664,16.72222222222222,-89.52631578947368,,
1903,15.622340425531915,160.8590909090909,21.404545454545456,8.933774834437086,160.66666666666666
1904,18.446969696969695,189.86742424242425,27.486590038314176,17.644628099173552,254.0
1905,14.422145328719724,197.03472222222223,43.34843205574913,5.125925925925926,127.0
1906,18.48611111111111,190.07042253521126,35.70774647887324,12.985185185185186,
1907,16.417218543046356,191.00993377483445,42.966777408637874,17.076923076923077,406.0
1908,17.843621399176953,192.83846153846153,33.29924242424242,4.824034334763948,
1909,14.32967032967033,192.85714285714286,44.010989010989015,5.696132596685083,
1910,16.686915887850468,188.5635838150289,37.11849710982659,13.372340425531915,
1911,54.48809523809524,167.0082191780822,21.581267217630852,53.054054054054056,
1912,43.0,166.5015479876161,24.839622641509433,21.761194029850746,
1913,41.36082474226804,193.339222614841,39.780575539568346,32.704918032786885,
1914,44.230088495575224,198.8448275862069,56.297872340425535,33.0,
1915,53.0,181.08389261744966,40.03020134228188,26.696969696969695,0.0
1916,12.083333333333334,182.68778280542986,36.387387387387385,9.702702702702704,
1917,17.69811320754717,144.0467289719626,9.764150943396226,17.933774834437084,
1918,62.40963855421687,201.42857142857142,72.41754385964913,35.878787878787875,
1919,55.07936507936508,164.75666666666666,25.97993311036789,60.611111111111114,186.33333333333334
1920,56.0,172.84112149532712,38.651162790697676,17.692307692307693,119.85714285714286
1921,45.34090909090909,202.99307958477507,55.49310344827586,58.3125,58.4
1922,41.02857142857143,192.3607142857143,38.81785714285714,44.75,108.40816326530613
1923,34.47107438016529,197.96323529411765,44.55681818181818,52.1,153.33333333333334
1924,39.04545454545455,195.71379310344827,49.641304347826086,8.567567567567568,118.6938775510204
1925,47.535714285714285,203.773851590106,54.765957446808514,33.94736842105263,211.0
1926,79.3,201.97306397306397,50.30201342281879,63.13333333333333,127.0
1927,26.65771812080537,200.59259259259258,53.0625,27.916666666666668,48.851851851851855
1928,36.24,201.70103092783506,50.72164948453608,29.571428571428573,69.75
1929,33.096,167.7366255144033,28.838056680161944,28.96551724137931,125.3974358974359
1930,41.255102040816325,201.25738396624473,54.90295358649789,9.093525179856115,156.62962962962962
1931,10.011173184357542,171.59708737864077,27.616504854368934,3.2341772151898733,225.2826086956522
1932,16.64824120603015,163.94009216589862,23.51231527093596,11.05607476635514,170.5084745762712
1933,14.92817679558011,171.4626168224299,20.401869158878505,17.933962264150942,396.0422535211268
1934,11.902173913043478,208.07177033492823,57.99038461538461,1.4,23.0
1935,12.75,186.05339805825244,32.82692307692308,3.9266666666666667,27.636363636363637
1936,22.779661016949152,198.05309734513276,50.0,17.674698795180724,160.296875
1937,15.221621621621622,142.7578947368421,5.550802139037433,10.441988950276244,299.4925373134328
1938,17.41304347826087,173.375,41.66183574879227,4.833333333333333,48.92857142857143
1939,12.659574468085106,153.66129032258064,20.154255319148938,7.601063829787234,134.96825396825398
1940,18.111675126903553,202.95982142857142,58.125,4.921568627450981,40.241379310344826
1941,20.838541666666668,160.01041666666666,29.74869109947644,2.6145833333333335,58.61538461538461
1942,17.881720430107528,133.44324324324324,-4.945945945945946,7.817204301075269,209.76712328767124
1943,12.129353233830846,169.015,32.395,2.531073446327684,46.09090909090909
1944,20.28497409326425,182.3193717277487,33.526041666666664,7.744791666666667,205.15
1945,15.58673469387755,157.66666666666666,20.620512820512822,3.020408163265306,26.333333333333332
1946,12.375,172.16062176165804,23.10994764397906,1.9378238341968912,54.05128205128205
1947,20.0472972972973,185.7177033492823,31.942307692307693,4.291866028708134,86.84210526315789
1948,14.020833333333334,151.30208333333334,19.0,6.901554404145077,30.58974358974359
1949,20.493827160493826,118.01851851851852,-10.147435897435898,14.197530864197532,156.15432098765433
1950,15.728915662650602,137.90361445783134,-4.678787878787879,7.114457831325301,31.0828025477707
1951,15.509316770186336,136.77439024390245,0.558282208588957,7.2024539877300615,10.128834355828221
1952,20.711111111111112,143.78453038674033,4.193370165745856,15.758241758241759,1.6521739130434783
1953,21.17142857142857,156.54022988505747,9.67816091954023,4.257142857142857,3.274193548387097
1954,10.055555555555555,162.54395604395606,26.733333333333334,2.659340659340659,0.0
1955,16.38323353293413,127.22727272727273,-9.352272727272727,8.963636363636363,100.51428571428572
1956,13.837078651685394,162.12637362637363,17.605555555555554,1.6374269005847952,0.0
1957,23.573033707865168,158.15384615384616,20.07182320441989,1.681564245810056,0.0
1958,14.272222222222222,168.40322580645162,16.167567567567566,2.853932584269663,4.164383561643835
1959,15.162790697674419,164.61494252873564,22.97093023255814,2.613095238095238,3.6884057971014492
1960,14.006024096385541,140.6845238095238,2.0479041916167664,8.922619047619047,21.842424242424244
1961,9.467836257309942,159.54117647058823,14.694117647058823,2.7485380116959064,1.5472972972972974
1962,17.394444444444446,148.28729281767957,12.044198895027625,5.1875,7.072164948453608
1963,22.68452380952381,141.63690476190476,4.619047619047619,1.970059880239521,0.4720496894409938
1964,21.845303867403317,111.0952380952381,-15.845238095238095,6.651933701657459,3.5970149253731343
1965,19.14876033057851,114.02631578947368,-3.6578947368421053,1.7252747252747254,32.78395061728395
1966,14.40117994100295,217.0,102.0,0.8152610441767069,93.60191082802548
1967,20.975274725274726,278.0,149.0,4.134693877551021,46.675
1968,25.562841530054644,,,6.0476190476190474,175.06578947368422
1969,18.950138504155124,,,2.780730897009967,111.78136200716845
1970,27.117808219178084,,,7.235494880546075,116.67532467532467
1971,23.19283746556474,,,6.873287671232877,208.31578947368422
1972,19.18032786885246,,,4.152416356877324,129.17924528301887
1973,26.304109589041097,,,8.861016949152543,172.5801282051282
1974,17.988980716253444,,,4.730392156862745,141.60323886639677
1975,22.44931506849315,,,2.8194444444444446,128.92857142857142
1976,15.968051118210862,57.724137931034484,-48.48275862068966,5.243333333333333,149.87241379310345
1977,20.504225352112677,,,8.476878612716764,70.98954703832753
1978,23.025,173.31666666666666,48.016666666666666,5.298507462686567,87.68821292775665
1979,11.791808873720136,215.67924528301887,81.88679245283019,5.663120567375887,166.84782608695653
1980,22.28732394366197,,,5.609427609427609,96.33536585365853
1981,21.78723404255319,,,5.300613496932515,59.5609756097561
1982,28.470404984423677,,,8.948328267477203,71.51592356687898
1983,26.73860182370821,,,8.170212765957446,35.073170731707314
1984,21.560747663551403,,,5.436532507739938,160.96594427244582
1985,17.83823529411765,,,9.781065088757396,63.81016949152542
1986,24.996875,,,5.11214953271028,41.218068535825545
1987,14.337461300309597,,,4.842105263157895,29.251552795031056
1988,12.415151515151516,,,4.085106382978723,37.58966565349544
1989,13.588957055214724,,,4.86687306501548,93.36728395061728
1990,14.897897897897899,,,3.7027027027027026,10.316923076923077
1991,22.8125,,,6.864864864864865,48.160377358490564
1992,15.215151515151515,,,4.520123839009288,20.36280487804878
1993,23.65129682997118,,,7.484848484848484,120.61146496815287
1994,19.25423728813559,,,10.463949843260188,55.25
1995,23.377581120943955,,,5.456456456456457,16.9281045751634
1996,22.825072886297377,,,11.198224852071005,70.17532467532467
1997,21.850877192982455,,,5.957575757575758,22.799342105263158
1998,24.75766016713092,,,9.507288629737609,65.91695501730104
1999,18.27433628318584,,,7.647761194029851,26.467532467532468
2000,17.910179640718564,,,5.887573964497041,21.964630225080384
2001,15.644670050761421,208.90070921985816,55.177304964539005,8.872448979591837,41.75555555555555
2002,16.71005917159763,122.38461538461539,-17.46153846153846,8.562130177514794,137.22368421052633
2004,20.19277108433735,117.37951807228916,-15.078313253012048,11.970059880239521,200.53987730061348
2005,30.629411764705882,135.20710059171597,-1.6449704142011834,8.2,13.570422535211268
2006,29.16568047337278,138.58579881656806,4.994082840236686,19.729411764705883,51.48993288590604
2007,13.176470588235293,136.32748538011697,-7.824561403508772,7.437125748502994,23.315068493150687
2008,19.227544910179642,134.70658682634732,-3.2289156626506026,10.994011976047904,175.52694610778443
2009,31.801204819277107,120.56626506024097,-9.909638554216867,15.25301204819277,102.97590361445783
2010,25.682634730538922,109.03030303030303,-12.4,10.5,37.392638036809814
2011,37.47852760736196,96.8957055214724,-20.61111111111111,13.404907975460123,40.17791411042945
2012,11.706293706293707,136.82208588957056,-3.2839506172839505,8.846625766871165,18.061349693251532
2013,15.540816326530612,142.03589743589743,-1.7538461538461538,23.49462365591398,153.275
2014,17.461077844311376,132.95808383233532,-1.874251497005988,5.652694610778443,18.7125748502994
2015,21.267857142857142,146.7245508982036,8.940119760479043,3.267857142857143,10.559006211180124
2016,20.34355828220859,148.3272727272727,13.127272727272727,6.614035087719298,87.74850299401197
2017,26.5748502994012,144.53614457831324,8.22289156626506,9.296969696969697,78.38509316770187
2018,13.607142857142858,138.59756097560975,4.146341463414634,8.352941176470589,17.975757575757576
2019,36.873493975903614,115.21686746987952,-5.204819277108434,13.374233128834355,60.50909090909091
2020,15.0,131.35542168674698,-0.9397590361445783,9.781818181818181,42.54819277108434
2021,16.982035928143713,138.26060606060605,-4.7682926829268295,8.797619047619047,24.047619047619047
2022,17.682634730538922,127.09580838323353,-19.143712574850298,7.982035928143713,22.76969696969697
2023,27.3109756097561,110.7125748502994,-7.4879518072289155,17.59036144578313,148.46107784431138
